Date,Sample_Count,RMS,Mean,Std,Min,Max,Peak_to_Peak,Failed_Count,Passed_Count,Failed_Ratio
2021-11-18 02:46:04.637000+00:00,1024,1.9417714968910542,-0.03955268859863281,1.9423172519040868,-3.17578125,3.123046875,6.298828125,375,649,0.3662109375
2021-11-18 02:47:52.613000+00:00,1024,1.915014102428815,-0.01143646240234375,1.9159156870661334,-3.111328125,3.1875,6.298828125,359,665,0.3505859375
2021-11-18 02:49:45.600000+00:00,1024,1.9488295871853767,-0.06278228759765625,1.9487698272009468,-3.24609375,3.158203125,6.404296875,370,654,0.361328125
2021-11-18 02:51:40.238000+00:00,1024,1.9003490392480817,-0.0507659912109375,1.9005990895680542,-3.181640625,3.134765625,6.31640625,355,669,0.3466796875
2021-11-18 02:53:30.792000+00:00,1024,1.9321277638649619,-0.05913734436035156,1.9321662035680511,-3.17578125,3.24609375,6.421875,354,670,0.345703125
2021-11-18 02:55:17.510000+00:00,1024,1.8973841364499384,-0.07950019836425781,1.8966442017882383,-3.24609375,3.263671875,6.509765625,340,684,0.33203125
2021-11-18 02:57:10.838000+00:00,1024,1.9286014342307558,-0.008769989013671875,1.929523874565317,-3.26953125,3.234375,6.50390625,360,664,0.3515625
2021-11-18 02:59:05.452000+00:00,1024,1.940970996636129,-0.0033512115478515625,1.941916536634086,-3.158203125,3.1875,6.345703125,367,657,0.3583984375
2021-11-18 03:00:57.354000+00:00,1024,1.9324560218679578,-0.07436180114746094,1.9319683279229012,-3.28125,3.240234375,6.521484375,364,660,0.35546875
2021-11-18 03:02:51.843000+00:00,1024,1.8852967813393933,0.06542205810546875,1.8850820025243926,-3.17578125,3.19921875,6.375,353,671,0.3447265625
2021-11-18 03:04:46.670000+00:00,1024,1.931027256209516,-0.08272171020507812,1.9301973278430735,-3.322265625,3.193359375,6.515625,372,652,0.36328125
2021-11-18 03:06:37.214000+00:00,1024,1.91119396948096,-0.045257568359375,1.9115916612235224,-3.240234375,3.451171875,6.69140625,354,670,0.345703125
2021-11-18 03:08:29.362000+00:00,1024,1.8982125755392263,0.023527145385742188,1.8989942376576392,-3.287109375,3.234375,6.521484375,354,670,0.345703125
2021-11-18 03:10:22.577000+00:00,1024,1.923891833262264,-0.0643157958984375,1.92375605612535,-3.333984375,3.193359375,6.52734375,367,657,0.3583984375
2021-11-18 03:12:10.597000+00:00,1024,1.8825851873042228,-0.05886077880859375,1.8825842489078946,-3.24609375,3.17578125,6.421875,336,688,0.328125
2021-11-18 03:14:00.949000+00:00,1024,1.9525769790473884,-0.03630256652832031,1.9531934195240594,-3.181640625,3.2109375,6.392578125,367,657,0.3583984375
2021-11-18 03:15:11.664000+00:00,1024,1.9335098460325064,-0.09011077880859375,1.9323526706515761,-3.345703125,3.52734375,6.873046875,390,634,0.380859375
